"","folder","filename","database","annotation","image","width","height","depth","segmented","name","pose","truncated","difficult","occluded"
"87","VOC2012","2007_002643.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"car","Frontal",1,0,0
"88","VOC2012","2007_002648.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Rear",0,0,0
"89","VOC2012","2007_002719.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,374,1,1,"boat","Unspecified",0,0,0
"90","VOC2012","2007_002728.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"train","Unspecified",0,0,0
"91","VOC2012","2007_002823.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"motorbike","Unspecified",1,0,0
"92","VOC2012","2007_002824.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,431,1,1,"person","Frontal",1,0,0
"93","VOC2012","2007_002852.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Right",0,0,0
"94","VOC2012","2007_002903.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,376,1,1,"cow","Frontal",1,0,0
"95","VOC2012","2007_003011.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",1,1,0
"96","VOC2012","2007_003020.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"pottedplant","Unspecified",0,0,0
"97","VOC2012","2007_003022.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"horse","Left",0,0,0
"98","VOC2012","2007_003051.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"car","Unspecified",0,0,0
"99","VOC2012","2007_003088.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bottle","Unspecified",0,0,0
"100","VOC2012","2007_003101.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"bus","Unspecified",1,0,0
"101","VOC2012","2007_003106.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Unspecified",0,0,0
"102","VOC2012","2007_003110.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,358,1,1,"dog","Frontal",0,0,0
"103","VOC2012","2007_003131.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"boat","Right",0,0,0
"104","VOC2012","2007_003134.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,366,1,1,"person","Unspecified",1,0,0
"105","VOC2012","2007_003137.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bus","Right",1,0,0
"106","VOC2012","2007_003143.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,292,1,1,"car","Unspecified",0,0,0
"107","VOC2012","2007_003169.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Unspecified",0,0,0
"108","VOC2012","2007_003188.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bicycle","Right",0,0,0
"109","VOC2012","2007_003194.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"dog","Right",0,0,0
"110","VOC2012","2007_003195.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"bus","Unspecified",0,0,0
"111","VOC2012","2007_003201.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,315,1,1,"cow","Frontal",0,0,0
"112","VOC2012","2007_003349.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"bird","Unspecified",0,0,0
"113","VOC2012","2007_003367.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",1,0,0
"114","VOC2012","2007_003373.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Unspecified",1,0,0
"115","VOC2012","2007_003499.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",1,0,0
"116","VOC2012","2007_003503.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"car","Left",1,0,0
"117","VOC2012","2007_003506.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"pottedplant","Unspecified",0,0,0
"118","VOC2012","2007_003530.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sofa","Unspecified",1,1,0
"119","VOC2012","2007_003571.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"boat","Unspecified",1,0,0
"120","VOC2012","2007_003587.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,361,1,1,"train","Unspecified",0,0,0
"121","VOC2012","2007_003611.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Rear",1,0,0
"122","VOC2012","2007_003621.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,343,1,1,"bicycle","Unspecified",0,0,0
"123","VOC2012","2007_003682.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"bird","Unspecified",0,0,0
"124","VOC2012","2007_003711.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,396,1,1,"car","Unspecified",1,0,0
"125","VOC2012","2007_003714.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Unspecified",0,0,0
"126","VOC2012","2007_003742.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",240,320,1,1,"diningtable","Unspecified",1,1,0
"127","VOC2012","2007_003786.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,281,1,1,"bus","Rear",0,0,0
"128","VOC2012","2007_003841.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,446,1,1,"cow","Unspecified",1,0,0
"129","VOC2012","2007_003848.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,176,1,1,"train","Right",0,0,0
"130","VOC2012","2007_003861.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"boat","Frontal",0,0,0
"131","VOC2012","2007_003872.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Left",0,0,0
"132","VOC2012","2007_003917.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"car","Left",1,0,0
"133","VOC2012","2007_003957.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"train","Left",0,0,0
"134","VOC2012","2007_003991.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,389,1,1,"cat","Unspecified",0,0,0
"135","VOC2012","2007_004033.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,342,1,1,"person","Rear",0,0,0
"136","VOC2012","2007_004052.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,319,1,1,"aeroplane","Left",0,0,0
"137","VOC2012","2007_004112.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Frontal",1,0,0
"138","VOC2012","2007_004121.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"pottedplant","Unspecified",0,0,0
"139","VOC2012","2007_004143.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bird","Left",0,0,0
"140","VOC2012","2007_004189.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"dog","Unspecified",0,0,0
"141","VOC2012","2007_004190.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Frontal",0,0,0
"142","VOC2012","2007_004193.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Frontal",0,0,0
"143","VOC2012","2007_004241.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"boat","Frontal",0,0,0
"144","VOC2012","2007_004275.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"motorbike","Frontal",1,0,0
"145","VOC2012","2007_004281.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",1,0,0
"146","VOC2012","2007_004380.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"motorbike","Frontal",1,0,0
"147","VOC2012","2007_004392.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"chair","Left",1,0,0
"148","VOC2012","2007_004405.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"diningtable","Unspecified",0,0,0
"149","VOC2012","2007_004468.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",174,500,1,1,"bottle","Unspecified",0,0,0
"150","VOC2012","2007_004483.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",1,0,0
"151","VOC2012","2007_004510.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Frontal",0,0,0
"152","VOC2012","2007_004538.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",480,367,1,1,"person","Unspecified",0,0,0
"153","VOC2012","2007_004558.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"pottedplant","Unspecified",0,0,0
"154","VOC2012","2007_004644.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"dog","Unspecified",1,0,0
"155","VOC2012","2007_004649.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,335,1,1,"train","Unspecified",0,0,0
"156","VOC2012","2007_004712.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Left",1,0,0
"157","VOC2012","2007_004722.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"horse","Frontal",0,0,0
"158","VOC2012","2007_004856.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",368,500,1,1,"cat","Frontal",0,0,0
"159","VOC2012","2007_004866.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Unspecified",1,0,0
"160","VOC2012","2007_004902.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"horse","Right",1,0,0
"161","VOC2012","2007_004969.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Unspecified",0,0,0
"162","VOC2012","2007_005058.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Right",0,0,0
"163","VOC2012","2007_005074.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"boat","Right",0,0,0
"164","VOC2012","2007_005107.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bicycle","Left",0,0,0
"165","VOC2012","2007_005114.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,322,1,1,"person","Frontal",0,0,0
"166","VOC2012","2007_005149.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"dog","Frontal",1,0,0
"167","VOC2012","2007_005173.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,289,1,1,"motorbike","Frontal",0,0,0
"168","VOC2012","2007_005281.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",330,500,1,1,"bicycle","Frontal",0,0,0
"169","VOC2012","2007_005294.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bottle","Unspecified",0,0,0
"170","VOC2012","2007_005296.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"car","Left",1,0,0
"171","VOC2012","2007_005304.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,400,1,1,"bottle","Unspecified",0,0,0
"172","VOC2012","2007_005331.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",318,480,1,1,"horse","Unspecified",0,0,0
"173","VOC2012","2007_005354.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"motorbike","Unspecified",0,0,0
"174","VOC2012","2007_005358.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"aeroplane","Right",0,0,0
"175","VOC2012","2007_005428.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"bottle","Unspecified",1,0,0
"176","VOC2012","2007_005460.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,402,1,1,"cat","Left",0,0,0
"177","VOC2012","2007_005469.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"sheep","Unspecified",1,0,0
"178","VOC2012","2007_005509.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,335,1,1,"aeroplane","Unspecified",0,0,0
"179","VOC2012","2007_005547.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cow","Right",0,0,0
"180","VOC2012","2007_005600.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,335,1,1,"aeroplane","Unspecified",0,1,0
"181","VOC2012","2007_005608.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"motorbike","Left",1,0,0
"182","VOC2012","2007_005626.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,339,1,1,"train","Unspecified",1,1,0
"183","VOC2012","2007_005689.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",1,0,0
"184","VOC2012","2007_005696.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"dog","Frontal",0,0,0
"185","VOC2012","2007_005705.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"boat","Frontal",0,0,0
"186","VOC2012","2007_005759.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"motorbike","Right",0,0,0
"187","VOC2012","2007_005803.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",0,0,0
"188","VOC2012","2007_005813.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",335,500,1,1,"pottedplant","Unspecified",0,0,0
"189","VOC2012","2007_005828.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,291,1,1,"aeroplane","Right",0,0,0
"190","VOC2012","2007_005844.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"chair","Right",1,0,0
"191","VOC2012","2007_005845.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,349,1,1,"cat","Unspecified",0,0,0
"192","VOC2012","2007_005857.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"pottedplant","Unspecified",0,0,0
"193","VOC2012","2007_005911.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bus","Right",1,0,0
"194","VOC2012","2007_005915.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Left",0,0,0
"195","VOC2012","2007_005978.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,271,1,1,"bus","Unspecified",1,0,0
"196","VOC2012","2007_006028.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,374,1,1,"bicycle","Left",1,0,0
"197","VOC2012","2007_006035.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,281,1,1,"car","Left",0,0,0
"198","VOC2012","2007_006046.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"boat","Left",0,0,0
"199","VOC2012","2007_006076.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"bird","Left",0,0,0
"200","VOC2012","2007_006086.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,476,1,1,"bottle","Unspecified",1,0,0
"201","VOC2012","2007_006117.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"person","Right",1,0,0
"202","VOC2012","2007_006171.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",1,0,0
"203","VOC2012","2007_006241.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"chair","Unspecified",1,0,0
"204","VOC2012","2007_006260.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Unspecified",0,0,0
"205","VOC2012","2007_006277.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"car","Unspecified",0,0,0
